ID,Customer_ID,Service_ID,Date_ID,Duration,Campaign,Pdays,Previous,Poutcome,Contact,Subscribed
0,26110,66,29901,44,2,-1,0,unknown,telephone,0
1,40576,95,25518,91,2,-1,0,unknown,cellular,0
2,15320,1,3265,240,1,-1,0,unknown,cellular,0
3,43962,20,28646,867,1,84,3,success,cellular,1
4,29842,45,38292,380,1,-1,0,unknown,cellular,0
5,29390,49,49820,116,3,-1,0,unknown,cellular,0
6,40444,19,2021,353,2,-1,0,unknown,telephone,1
7,40194,86,5916,97,4,-1,0,unknown,cellular,0
8,29824,28,27222,692,1,-1,0,unknown,cellular,0
9,44676,29,42670,789,2,-1,0,unknown,cellular,0
10,14699,3,5704,687,7,-1,0,unknown,cellular,1
11,30180,89,47709,96,2,-1,0,unknown,cellular,0
12,28024,55,4036,212,2,-1,0,unknown,cellular,0
13,480,96,23778,185,1,-1,0,unknown,unknown,0
14,3260,31,40743,436,1,-1,0,unknown,unknown,0
15,9701,97,8228,75,1,-1,0,unknown,unknown,0
16,2843,66,39551,230,1,-1,0,unknown,unknown,0
17,30489,26,32487,125,7,-1,0,unknown,telephone,0
18,35310,11,11207,983,4,-1,0,unknown,cellular,1
19,38291,82,45633,12,5,-1,0,unknown,cellular,0
20,4554,98,24338,72,5,-1,0,unknown,unknown,0
21,12156,23,38317,20,33,-1,0,unknown,unknown,0
22,16755,4,13000,132,1,-1,0,unknown,cellular,0
23,14731,86,3796,838,3,-1,0,unknown,cellular,1
24,40057,57,32300,207,1,-1,0,unknown,cellular,1
25,20722,98,43874,460,2,-1,0,unknown,cellular,0
26,9934,92,9273,200,1,-1,0,unknown,unknown,0
27,2730,19,11786,109,4,-1,0,unknown,unknown,0
28,30448,95,1331,617,4,251,2,failure,cellular,0
29,30566,40,47882,230,2,-1,0,unknown,cellular,0
30,8653,43,13706,56,12,-1,0,unknown,unknown,0
31,30574,5,40893,13,8,9,2,other,cellular,0
32,1352,22,43670,194,3,-1,0,unknown,unknown,0
33,14133,24,7740,71,3,-1,0,unknown,cellular,0
34,26297,70,39057,124,1,-1,0,unknown,cellular,0
35,30741,9,39565,44,9,-1,0,unknown,telephone,0
36,45155,44,31371,301,1,456,4,failure,telephone,0
37,11484,90,12459,191,3,-1,0,unknown,unknown,0
38,4341,80,13868,168,4,-1,0,unknown,unknown,0
39,30595,40,19636,1019,2,-1,0,unknown,cellular,1
40,8153,44,11841,490,12,-1,0,unknown,unknown,0
41,41042,77,13574,90,3,120,1,failure,cellular,0
42,5137,13,11343,151,1,-1,0,unknown,unknown,0
43,6807,95,49282,36,1,-1,0,unknown,unknown,0
44,42243,90,18883,126,1,92,5,failure,cellular,1
45,11760,94,12840,39,2,-1,0,unknown,unknown,0
46,29317,48,23990,168,1,-1,0,unknown,cellular,0
47,18123,92,25581,90,4,-1,0,unknown,cellular,0
48,39672,7,1212,283,1,-1,0,unknown,cellular,0
49,11517,59,45069,605,1,-1,0,unknown,unknown,0
50,35993,89,16625,282,5,347,5,other,cellular,0
51,25061,17,33644,187,1,154,1,failure,unknown,0
52,6216,1,40340,114,1,-1,0,unknown,unknown,0
53,27503,7,36239,155,2,-1,0,unknown,cellular,0
54,39213,2,28589,732,2,291,5,failure,cellular,1
55,22206,14,20607,107,6,-1,0,unknown,cellular,0
56,32833,57,46615,463,1,344,1,failure,cellular,0
57,25258,91,33958,147,2,-1,0,unknown,cellular,0
58,28771,94,28916,410,2,196,2,other,cellular,0
59,32351,3,11707,140,2,324,4,failure,telephone,0
60,35015,37,11487,346,1,-1,0,unknown,cellular,0
61,26088,79,35437,89,3,-1,0,unknown,telephone,0
62,38538,58,30906,57,2,332,3,failure,cellular,0
63,27845,11,12577,28,1,-1,0,unknown,telephone,0
64,11026,36,17951,544,3,-1,0,unknown,unknown,0
65,11815,18,4395,211,2,-1,0,unknown,unknown,0
66,41699,96,6638,526,1,-1,0,unknown,cellular,0
67,20231,47,26100,140,2,-1,0,unknown,cellular,0
